"id","createdAt","inReplyToScreenName","inReplyToStatusId","inReplyToUserId","retweetCount","source","text"
"803252251858866177","Mon Nov 28 10:00:35 EST 2016",,"-1","-1","28","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","No aloe vera was found in store-brand aloe products from these popular stores, according to researchers:… https://t.co/NzIW89YLfM"
"803237101735186436","Mon Nov 28 09:00:23 EST 2016",,"-1","-1","7","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","One pie from the grocery freezer case can have more than 1,000 calories.  https://t.co/XB3Ptn7xvo https://t.co/2OktmMfKQf"
"803207338706534400","Mon Nov 28 07:02:07 EST 2016",,"-1","-1","63","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Need some decompression? Here are 7 yoga poses to loosen up your lower back: https://t.co/s9nSxtzSz5 https://t.co/lESqTzODYe"
"803094080473432064","Sun Nov 27 23:32:04 EST 2016",,"-1","-1","23","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","What your feet say about your health: https://t.co/SraSO40HxM https://t.co/biybi4qa1F"
"803093604474515456","Sun Nov 27 23:30:10 EST 2016",,"-1","-1","4","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Tired of the same old, tired tomato recipes?  Feast your eyes on tomato tartlets, sweet chutney and more:… https://t.co/gR4YIEIdGs"
"803063438658469889","Sun Nov 27 21:30:18 EST 2016",,"-1","-1","37","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","The first symptoms of shingles appear one to five days before the rash: https://t.co/wLBTlHRHfB https://t.co/4smXe3U6wg"
"803025938749489153","Sun Nov 27 19:01:17 EST 2016",,"-1","-1","65","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Don't feel guilty! Dark chocolate can be part of a healthy diet. https://t.co/pgZiA7CxtJ"
"803010614549483520","Sun Nov 27 18:00:24 EST 2016",,"-1","-1","21","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Symptoms of AFib may include dizziness, fatigue, weakness, shortness of breath, and chest pain. Learn more:… https://t.co/g0CVZArnMf"
"802995540229292032","Sun Nov 27 17:00:30 EST 2016",,"-1","-1","48","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Symptoms of food poisoning can start as early as 1 hour (or as late as 10 days) after eating tainted food.… https://t.co/UeejidnV2l"
"802980682582675463","Sun Nov 27 16:01:28 EST 2016",,"-1","-1","40","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Still burning off that pumpkin pie? Try some squats -- here's how to do them: https://t.co/cusbbZtTVP https://t.co/MbfRZqXpC6"
"802965325029445632","Sun Nov 27 15:00:26 EST 2016",,"-1","-1","78","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","People with Alzheimer's disease may be able to improve their memory by taking probiotics, according to new study:… https://t.co/UIAjwbZd3q"
"802920647483473920","Sun Nov 27 12:02:54 EST 2016",,"-1","-1","77","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","If someone is choking, have another person call 9-1-1 immediately. https://t.co/iLoFpKepjC"
"802904896756293632","Sun Nov 27 11:00:19 EST 2016",,"-1","-1","22","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Symptoms of gout usually strike unexpectedly. Learn more: https://t.co/MgYAZJOAsj https://t.co/Ml7fc5RtMR"
"802874723206103040","Sun Nov 27 09:00:25 EST 2016",,"-1","-1","19","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","After brunch, make sure you store maple syrup in the fridge to lower the chances of yeast, bacteria, and mold.… https://t.co/kyWjMz9Ufz"
"802844731537399808","Sun Nov 27 07:01:14 EST 2016",,"-1","-1","80","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Sleep apnea can affect anyone at any age, even children. https://t.co/KBLKTP89Xi https://t.co/I2RQUrJavN"
"802761411093032960","Sun Nov 27 01:30:09 EST 2016",,"-1","-1","23","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Did you know your nails can reveal clues to your overall health? https://t.co/1XAqu3qkaB https://t.co/UFkE6NeoEx"
"802761410874900480","Sun Nov 27 01:30:09 EST 2016",,"-1","-1","21","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Have you noticed that some foods just don’t satisfy your hunger very well? Or for very long? https://t.co/hVaLd5ixvd https://t.co/MTo6qr95gC"
"802723685723467776","Sat Nov 26 23:00:15 EST 2016",,"-1","-1","39","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","As little as 1 drop of raw chicken juice can cause food poisoning. Learn how to avoid cross-contamination:… https://t.co/5MU7ci1wu3"
"802701028374310913","Sat Nov 26 21:30:13 EST 2016",,"-1","-1","47","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Polycystic ovary syndrome is a hormonal disorder that affects millions of women. What you need to know:… https://t.co/SpdPpB3KNl"
"802663574925639684","Sat Nov 26 19:01:23 EST 2016",,"-1","-1","64","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Want healthier soup? Here's how to skim off the fat -- while keeping the good stuff. https://t.co/4O5j2THb5E https://t.co/JJVj4v77Qf"
"802648244274593792","Sat Nov 26 18:00:28 EST 2016",,"-1","-1","36","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","You don't need them both, but the kidney’s job is very important. How well do you know your kidneys?… https://t.co/OwoQowcItL"
"802633113105002496","Sat Nov 26 17:00:21 EST 2016",,"-1","-1","28","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","How much do you know about listeria, where it grows and the health danger it poses? https://t.co/fBGkWZj4Pw https://t.co/zLwqCsSLZX"
"802618568743518208","Sat Nov 26 16:02:33 EST 2016",,"-1","-1","33","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Bottom line? Sometimes it's good to listen to your gut. Incredible facts to know about your stomach:… https://t.co/SrT4gbWfq6"
"802602893102764033","Sat Nov 26 15:00:16 EST 2016",,"-1","-1","35","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Physical symptoms of depression can include sleep problems, chest pain, fatigue, and headaches:… https://t.co/gfgjtJwVwv"
"802542539819479041","Sat Nov 26 11:00:26 EST 2016",,"-1","-1","60","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Garlic does more than punch up the flavor of a meal. Foods that boost your immune system: https://t.co/0y4R8xQiLi https://t.co/m6wFPhHyuw"
"802512338611900416","Sat Nov 26 09:00:26 EST 2016",,"-1","-1","44","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Like many cancers, skin cancers start as precancerous lesions. Learn how to spot the early warning signs:… https://t.co/TexIi7AKNr"
"802483394059898880","Sat Nov 26 07:05:25 EST 2016",,"-1","-1","122","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Daily meditation can be remarkable for your body. @ABC's @DanBHarris has called it a ""genuine game changer"" in his… https://t.co/Wx9OYhqcrA"
"802383898378440704","Sat Nov 26 00:30:03 EST 2016",,"-1","-1","17","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Joint and muscle pain is often the first sign of lupus – and it tends to occur particularly in these 4 areas:… https://t.co/pl98S1ThGU"
"802368816852434944","Fri Nov 25 23:30:07 EST 2016",,"-1","-1","23","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Splitting headache? Rest in a dark quiet room, or try some of these other remedies. https://t.co/WLuy6JZGL7 https://t.co/cQ6RkcB4yg"
"802353740795609088","Fri Nov 25 22:30:13 EST 2016",,"-1","-1","9","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Light therapy can be an effective treatment for psoriasis, but it can also raise your risk of getting cancer.… https://t.co/zOPIlqmlio"
"802338610305531904","Fri Nov 25 21:30:06 EST 2016",,"-1","-1","25","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Binge eating can raise your risk of heart disease, so nosh on small handfuls of nuts for your ticker.… https://t.co/QVYejvILrg"
"802323530209759232","Fri Nov 25 20:30:10 EST 2016",,"-1","-1","20","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Unexpected foods that are good for your bones: https://t.co/6pSF0kWk5e https://t.co/vq0p66Bc4b"
"802301128499150848","Fri Nov 25 19:01:09 EST 2016",,"-1","-1","50","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Fruit flies can show up if you leave food sitting out too long. Here's how to get rid of them:… https://t.co/8UHCdHRDou"
